PrimaryKey,Location,OrderID,OrderDate,OrderTime,Channel,City,OrderStatus,DeliveryStatus,DeliveryType,GrossAOV,StackingType,WorkflowUUID,OrderUUID,IsScheduled,IsSubscription,OrderStartTime,TimeToAccept,TimeToCourierArrivedAtRx,TimeCourierAtRx,TimeToDeliver,TimeCourierAtCx,OrderDuration,PromotionsOnItems,PriceAdjustments,DeliveryFee,PromotionsOnDelivery,Tips,MarketplaceFee,TotalPayout,PayoutDate,OrderIssue,TotalRefund,RefundCoveredByMerchant,RefundNotCoveredByMerchant,RatingScore
#EEDE2 - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#EEDE2,2022-11-14,18:02:09,Uber Eats,Berlin,Completed,,Delivery,38.2,,389bb5c8-1a77-4a94-a43c-0046ec1eede2,84b3263e-07a6-5ac1-8c7a-f2a42b21be20,False,False,18:02:09,00:00:08,00:00:00,00:00:00,00:00:00,00:00:00,,0.0,0.0,1.0,0.0,3.92,-5.91,37.21,21/11/2022,,,,,
#C3D5D - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#C3D5D,2022-11-14,18:41:47,Uber Eats,Berlin,Completed,,Delivery,43.5,,a703ed0a-fea5-4640-a382-8edb62dc3d5d,9efcf156-fa61-5409-8db8-cc28e4e51dd8,False,False,18:41:47,00:00:17,00:00:00,00:00:00,00:00:00,00:00:00,,0.0,0.0,1.0,0.0,2.0,-6.74,39.76,21/11/2022,,,,,
#2A8B4 - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#2A8B4,2022-11-14,19:02:53,Uber Eats,Berlin,Completed,Completed,Delivery,50.4,Non Batched,7b45321e-3943-4ffb-88c5-178e5a82a8b4,ca35d3c5-47a7-5849-9db0-47e199592dd6,False,False,19:02:53,00:00:07,00:21:26,00:00:59,00:08:06,00:06:18,00:36:55,0.0,0.0,0.0,0.0,0.0,-17.99,32.41,21/11/2022,,,,,
#55706 - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#55706,2022-11-14,19:14:24,Uber Eats,Berlin,Completed,Completed,Delivery,24.6,Single Merchant,f6932173-0b9b-40a3-b223-4cd4e4c55706,cda80cbb-f34a-58f4-a1f8-95e6acd008cc,False,False,19:14:24,00:00:07,00:12:04,00:09:32,00:13:20,00:04:15,00:39:18,0.0,0.0,0.0,0.0,0.0,-8.78,15.82,21/11/2022,,,,,
#E1A7A - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#E1A7A,2022-11-14,19:14:40,Uber Eats,Berlin,Completed,Completed,Delivery,15.9,Single Merchant,e501da3a-8eb7-405d-9d22-a671f66e1a7a,d75e1cf0-6785-5061-b047-d8477990fb45,False,False,19:14:40,00:00:07,00:00:00,00:00:00,00:04:40,00:05:25,00:31:33,0.0,0.0,0.0,0.0,0.0,-5.68,10.22,21/11/2022,,,,,
#99F45 - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#99F45,2022-11-14,19:55:05,Uber Eats,Berlin,Completed,Completed,Delivery,30.4,Non Batched,40e31f41-0c2b-48cd-880b-083af5599f45,19a5ace7-3357-5760-be9c-746e7354ba7e,False,False,19:55:05,00:00:05,00:13:36,00:03:47,00:05:05,00:03:33,00:26:06,0.0,0.0,0.0,0.0,0.0,-10.85,19.55,21/11/2022,,,,,
#CCCBF - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#CCCBF,2022-11-14,20:05:00,Uber Eats,Berlin,Completed,Completed,Delivery,24.4,Non Batched,57b2af7f-d9c2-4a3d-af01-eaf4eddcccbf,1dd3204a-186b-5d01-a6a4-843662c323fc,False,False,20:05:00,00:00:07,00:12:13,00:02:03,00:05:49,00:01:54,00:22:06,0.0,0.0,0.0,0.0,0.0,-8.71,15.69,21/11/2022,,,,,
#BFC5B - Prenzlauer Berg - 2022-11-14,Prenzlauer Berg,#BFC5B,2022-11-14,20:20:12,Uber Eats,Berlin,Completed,Completed,Delivery,20.9,Non Batched,66e533b0-40d3-49cf-8e2f-8ed32f1bfc5b,30019c74-4585-5aa5-832a-3d467004f78a,False,False,20:20:12,00:00:06,00:08:31,00:02:16,00:05:44,00:03:54,00:20:31,0.0,0.0,0.0,0.0,0.0,-7.46,13.44,21/11/2022,,,,,
#777F0 - Prenzlauer Berg - 2022-11-15,Prenzlauer Berg,#777F0,2022-11-15,12:18:50,Uber Eats,Berlin,Completed,Completed,Delivery,22.6,Non Batched,6f615554-55e7-4542-a2fb-eb77281777f0,7993927b-f83c-57ed-9162-44d59104e31c,False,False,12:18:50,00:00:04,00:24:05,00:01:21,00:07:51,00:02:09,00:35:30,0.0,0.0,0.0,0.0,0.0,-8.07,14.53,21/11/2022,,,,,
#8F595 - Prenzlauer Berg - 2022-11-15,Prenzlauer Berg,#8F595,2022-11-15,15:34:20,Uber Eats,Berlin,Completed,Completed,Delivery,49.0,Non Batched,a85bb1f7-447e-47df-9cb6-f5fac5f8f595,5581554a-db98-57a8-a846-5e61055f536e,False,False,15:34:20,00:00:06,00:14:45,00:01:14,00:07:51,00:01:31,00:25:27,0.0,0.0,0.0,0.0,0.0,-17.49,31.51,21/11/2022,,,,,
