PayoutDate,OrderWeek,Location,Payment Descriptions,OtherPayments
2022-11-21,2022-11-21,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2022-11-22,2022-11-21,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2022-11-23,2022-11-21,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2022-11-24,2022-11-21,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2022-11-25,2022-11-21,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2022-11-26,2022-11-21,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2022-11-27,2022-11-21,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2022-12-26,2022-12-26,Mitte,Ad Spend,-3.031428571428571
2022-12-27,2022-12-26,Mitte,Ad Spend,-3.031428571428571
2022-12-28,2022-12-26,Mitte,Ad Spend,-3.031428571428571
2022-12-29,2022-12-26,Mitte,Ad Spend,-3.031428571428571
2022-12-30,2022-12-26,Mitte,Ad Spend,-3.031428571428571
2022-12-31,2022-12-26,Mitte,Ad Spend,-3.031428571428571
2023-01-01,2022-12-26,Mitte,Ad Spend,-3.031428571428571
2023-01-02,2023-01-02,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-02,2023-01-02,Mitte,Ad Spend,-24.404285714285717
2023-01-02,2023-01-02,Prenzlauer Berg,Ad Spend,-8.627142857142857
2023-01-02,2023-01-02,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-03,2023-01-02,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-03,2023-01-02,Mitte,Ad Spend,-24.404285714285717
2023-01-03,2023-01-02,Prenzlauer Berg,Ad Spend,-8.627142857142857
2023-01-03,2023-01-02,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-04,2023-01-02,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-04,2023-01-02,Mitte,Ad Spend,-24.404285714285717
2023-01-04,2023-01-02,Prenzlauer Berg,Ad Spend,-8.627142857142857
2023-01-04,2023-01-02,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-05,2023-01-02,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-05,2023-01-02,Mitte,Ad Spend,-24.404285714285717
2023-01-05,2023-01-02,Prenzlauer Berg,Ad Spend,-8.627142857142857
2023-01-05,2023-01-02,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-06,2023-01-02,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-06,2023-01-02,Mitte,Ad Spend,-24.404285714285717
2023-01-06,2023-01-02,Prenzlauer Berg,Ad Spend,-8.627142857142857
2023-01-06,2023-01-02,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-07,2023-01-02,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-07,2023-01-02,Mitte,Ad Spend,-24.404285714285717
2023-01-07,2023-01-02,Prenzlauer Berg,Ad Spend,-8.627142857142857
2023-01-07,2023-01-02,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-08,2023-01-02,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-08,2023-01-02,Mitte,Ad Spend,-24.404285714285717
2023-01-08,2023-01-02,Prenzlauer Berg,Ad Spend,-8.627142857142857
2023-01-08,2023-01-02,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-09,2023-01-09,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-09,2023-01-09,Mitte,Ad Spend,-26.17142857142857
2023-01-09,2023-01-09,Prenzlauer Berg,Ad Spend,-21.12142857142857
2023-01-09,2023-01-09,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-10,2023-01-09,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-10,2023-01-09,Mitte,Ad Spend,-26.17142857142857
2023-01-10,2023-01-09,Prenzlauer Berg,Ad Spend,-21.12142857142857
2023-01-10,2023-01-09,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-11,2023-01-09,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-11,2023-01-09,Mitte,Ad Spend,-26.17142857142857
2023-01-11,2023-01-09,Prenzlauer Berg,Ad Spend,-21.12142857142857
2023-01-11,2023-01-09,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-12,2023-01-09,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-12,2023-01-09,Mitte,Ad Spend,-26.17142857142857
2023-01-12,2023-01-09,Prenzlauer Berg,Ad Spend,-21.12142857142857
2023-01-12,2023-01-09,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-13,2023-01-09,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-13,2023-01-09,Mitte,Ad Spend,-26.17142857142857
2023-01-13,2023-01-09,Prenzlauer Berg,Ad Spend,-21.12142857142857
2023-01-13,2023-01-09,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-14,2023-01-09,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-14,2023-01-09,Mitte,Ad Spend,-26.17142857142857
2023-01-14,2023-01-09,Prenzlauer Berg,Ad Spend,-21.12142857142857
2023-01-14,2023-01-09,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-15,2023-01-09,Friedrichshain,VAT Rounding Adjustment,0.0
2023-01-15,2023-01-09,Mitte,Ad Spend,-26.17142857142857
2023-01-15,2023-01-09,Prenzlauer Berg,Ad Spend,-21.12142857142857
2023-01-15,2023-01-09,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-16,2023-01-16,Charlottenburg,Ad Spend,-0.4957142857142857
2023-01-16,2023-01-16,Friedrichshain,Ad Spend,-24.10857142857143
2023-01-16,2023-01-16,Mitte,Ad Spend,-26.215714285714284
2023-01-16,2023-01-16,Mitte,VAT Rounding Adjustment,0.0
2023-01-16,2023-01-16,Prenzlauer Berg,Ad Spend,-32.14857142857143
2023-01-16,2023-01-16,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-17,2023-01-16,Charlottenburg,Ad Spend,-0.4957142857142857
2023-01-17,2023-01-16,Friedrichshain,Ad Spend,-24.10857142857143
2023-01-17,2023-01-16,Mitte,Ad Spend,-26.215714285714284
2023-01-17,2023-01-16,Mitte,VAT Rounding Adjustment,0.0
2023-01-17,2023-01-16,Prenzlauer Berg,Ad Spend,-32.14857142857143
2023-01-17,2023-01-16,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-18,2023-01-16,Charlottenburg,Ad Spend,-0.4957142857142857
2023-01-18,2023-01-16,Friedrichshain,Ad Spend,-24.10857142857143
2023-01-18,2023-01-16,Mitte,Ad Spend,-26.215714285714284
2023-01-18,2023-01-16,Mitte,VAT Rounding Adjustment,0.0
2023-01-18,2023-01-16,Prenzlauer Berg,Ad Spend,-32.14857142857143
2023-01-18,2023-01-16,Prenzlauer Berg,VAT Rounding Adjustment,0.0
2023-01-19,2023-01-16,Charlottenburg,Ad Spend,-0.4957142857142857
2023-01-19,2023-01-16,Friedrichshain,Ad Spend,-24.10857142857143
2023-01-19,2023-01-16,Mitte,Ad Spend,-26.215714285714284
2023-01-19,2023-01-16,Mitte,VAT Rounding Adjustment,0.0
