OrderID,Location,DeliveryType,Channel,OrderDate,OrderTime,OrderUUID,WorkflowUUID,OrderStartTime,OrderAcceptedTime,CourierArrivalTime,CourierStartedTime,CourierArrivalTime,CourierEndedTime,TimeToAccept,TimeToCourierArrivedAtRx,TimeCourierAtRx,TimeToDeliver,TimeCourierAtCx,OrderDuration,Country,CountryCode,City,OrderStatus,DeliveryStatus,IsScheduled,IsCompleted,MenuItemCount,CurrencyCode,GrossAOV,TimeToConfirm,OriginalPrepTime,IsPrepTimeIncreased,IncreasedPrepTime,TotalDeliveryTime,CourierRxWaitTime,TotalRxTime,StackingType,OrderDeviceType,IsSubscription,PrimaryKey
#EEDE2,Prenzlauer Berg,Delivery,UberEats,2022-11-14,18:02:09,84b3263e-07a6-5ac1-8c7a-f2a42b21be20,389bb5c8-1a77-4a94-a43c-0046ec1eede2,18:02:09,18:02:17,00:00:00,00:00:00,00:00:00,00:00:00,00:00:08,00:00:00,00:00:00,00:00:00,00:00:00,,Germany,DEU,Berlin,Completed,,False,True,6,EUR,38.2,00:00:07,00:00:28,False,0.0,,,,,iOS,False,#EEDE2 - Prenzlauer Berg - 2022-11-14
#C3D5D,Prenzlauer Berg,Delivery,UberEats,2022-11-14,18:41:47,9efcf156-fa61-5409-8db8-cc28e4e51dd8,a703ed0a-fea5-4640-a382-8edb62dc3d5d,18:41:47,18:42:04,00:00:00,00:00:00,00:00:00,00:00:00,00:00:17,00:00:00,00:00:00,00:00:00,00:00:00,,Germany,DEU,Berlin,Completed,,False,True,7,EUR,43.5,00:00:16,00:06:10,False,0.0,,,,,iOS,False,#C3D5D - Prenzlauer Berg - 2022-11-14
#2A8B4,Prenzlauer Berg,Delivery,UberEats,2022-11-14,19:02:53,ca35d3c5-47a7-5849-9db0-47e199592dd6,7b45321e-3943-4ffb-88c5-178e5a82a8b4,19:02:53,19:03:00,19:24:26,19:25:25,19:24:26,19:39:49,00:00:07,00:21:26,00:00:59,00:08:06,00:06:18,00:36:55,Germany,DEU,Berlin,Completed,Completed,False,True,8,EUR,50.4,00:00:07,00:20:00,True,-9.67,14.4,00:00:58,00:22:25,Non Batched,iOS,False,#2A8B4 - Prenzlauer Berg - 2022-11-14
#55706,Prenzlauer Berg,Delivery,UberEats,2022-11-14,19:14:24,cda80cbb-f34a-58f4-a1f8-95e6acd008cc,f6932173-0b9b-40a3-b223-4cd4e4c55706,19:14:24,19:14:31,19:26:35,19:36:07,19:26:35,19:53:42,00:00:07,00:12:04,00:09:32,00:13:20,00:04:15,00:39:18,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,24.6,00:00:07,00:10:00,False,0.0,17.58,00:09:31,00:21:36,Single Merchant,iOS,False,#55706 - Prenzlauer Berg - 2022-11-14
#E1A7A,Prenzlauer Berg,Delivery,UberEats,2022-11-14,19:14:40,d75e1cf0-6785-5061-b047-d8477990fb45,e501da3a-8eb7-405d-9d22-a671f66e1a7a,19:14:40,19:14:47,00:00:00,19:36:08,00:00:00,19:46:13,00:00:07,00:00:00,00:00:00,00:04:40,00:05:25,00:31:33,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,15.9,00:00:07,00:25:00,True,-9.38,10.08,,00:21:21,Single Merchant,iOS,False,#E1A7A - Prenzlauer Berg - 2022-11-14
#99F45,Prenzlauer Berg,Delivery,UberEats,2022-11-14,19:55:05,19a5ace7-3357-5760-be9c-746e7354ba7e,40e31f41-0c2b-48cd-880b-083af5599f45,19:55:05,19:55:10,20:08:46,20:12:33,20:08:46,20:21:11,00:00:05,00:13:36,00:03:47,00:05:05,00:03:33,00:26:06,Germany,DEU,Berlin,Completed,Completed,False,True,5,EUR,30.4,00:00:04,00:08:22,True,-9.82,8.63,00:03:46,00:17:22,Non Batched,Web,False,#99F45 - Prenzlauer Berg - 2022-11-14
#CCCBF,Prenzlauer Berg,Delivery,UberEats,2022-11-14,20:05:00,1dd3204a-186b-5d01-a6a4-843662c323fc,57b2af7f-d9c2-4a3d-af01-eaf4eddcccbf,20:05:00,20:05:07,20:17:20,20:19:23,20:17:20,20:27:06,00:00:07,00:12:13,00:02:03,00:05:49,00:01:54,00:22:06,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,24.4,00:00:07,00:10:49,True,-9.9,7.72,00:02:02,00:14:16,Non Batched,iOS,False,#CCCBF - Prenzlauer Berg - 2022-11-14
#BFC5B,Prenzlauer Berg,Delivery,UberEats,2022-11-14,20:20:12,30019c74-4585-5aa5-832a-3d467004f78a,66e533b0-40d3-49cf-8e2f-8ed32f1bfc5b,20:20:12,20:20:18,20:28:49,20:31:05,20:28:49,20:40:43,00:00:06,00:08:31,00:02:16,00:05:44,00:03:54,00:20:31,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,20.9,00:00:06,00:06:04,True,-9.87,9.63,00:02:16,00:10:46,Non Batched,iOS,False,#BFC5B - Prenzlauer Berg - 2022-11-14
#777F0,Prenzlauer Berg,Delivery,UberEats,2022-11-15,12:18:50,7993927b-f83c-57ed-9162-44d59104e31c,6f615554-55e7-4542-a2fb-eb77281777f0,12:18:50,12:18:54,12:42:59,12:44:20,12:42:59,12:54:20,00:00:04,00:24:05,00:01:21,00:07:51,00:02:09,00:35:30,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,22.6,00:00:04,00:25:00,True,-9.8,10.0,00:01:21,00:25:25,Non Batched,iOS,False,#777F0 - Prenzlauer Berg - 2022-11-15
#8F595,Prenzlauer Berg,Delivery,UberEats,2022-11-15,15:34:20,5581554a-db98-57a8-a846-5e61055f536e,a85bb1f7-447e-47df-9cb6-f5fac5f8f595,15:34:20,15:34:26,15:49:11,15:50:25,15:49:11,15:59:47,00:00:06,00:14:45,00:01:14,00:07:51,00:01:31,00:25:27,Germany,DEU,Berlin,Completed,Completed,False,True,6,EUR,49.0,00:00:06,00:15:00,True,-9.65,9.37,00:01:13,00:15:58,Non Batched,iOS,False,#8F595 - Prenzlauer Berg - 2022-11-15
