OrderID,WorkflowUUID,Location,OrderDate,GrossAOV,PromotionsOnItems,PriceAdjustments,DeliveryFee,PromotionsOnDelivery,Tips,MarketplaceFee,TotalPayout,PayoutDate,PrimaryKey
#A8984,fc3fb102-cee7-4780-ab6e-384d396a8984,Mitte,2022-11-30,17.3,0.0,0.0,0.0,0.0,0.0,-6.18,11.12,05/12/2022,#A8984 - Mitte - 2022-11-30
#A40E9,6f0ef27b-0a13-43d7-a695-d4d348ba40e9,Mitte,2022-11-30,19.3,0.0,0.0,0.0,0.0,0.0,-6.89,12.41,05/12/2022,#A40E9 - Mitte - 2022-11-30
#AAF6F,b71aa279-88cb-4dc3-b922-d4580bdaaf6f,Mitte,2022-11-30,7.7,0.0,0.0,0.0,0.0,0.0,-2.75,4.95,05/12/2022,#AAF6F - Mitte - 2022-11-30
#3DDD8,12030254-dd5a-4231-8947-1223ca73ddd8,Mitte,2022-11-30,10.9,0.0,0.0,0.0,0.0,0.0,-3.89,7.01,05/12/2022,#3DDD8 - Mitte - 2022-11-30
#BA8AA,89433c27-1ef1-4af7-9720-1bb9c35ba8aa,Mitte,2022-11-30,11.6,0.0,0.0,0.0,0.0,0.0,-4.14,7.46,05/12/2022,#BA8AA - Mitte - 2022-11-30
#FACC1,ea9c129b-f917-43da-b094-d7171b9facc1,Mitte,2022-11-30,36.6,0.0,0.0,0.0,0.0,0.0,-13.07,23.53,05/12/2022,#FACC1 - Mitte - 2022-11-30
#16FD1,c4e90dcf-4585-47aa-b7f2-fa49d4516fd1,Mitte,2022-11-30,16.3,0.0,0.0,0.0,0.0,0.0,-5.82,10.48,05/12/2022,#16FD1 - Mitte - 2022-11-30
#393E6,d13943fa-4a56-4013-ad47-3996b92393e6,Mitte,2022-11-30,16.8,0.0,0.0,0.0,0.0,0.0,-6.0,10.8,05/12/2022,#393E6 - Mitte - 2022-11-30
#EEDE2,389bb5c8-1a77-4a94-a43c-0046ec1eede2,Prenzlauer Berg,2022-11-14,38.2,0.0,0.0,1.0,0.0,3.92,-5.91,37.21,21/11/2022,#EEDE2 - Prenzlauer Berg - 2022-11-14
#C3D5D,a703ed0a-fea5-4640-a382-8edb62dc3d5d,Prenzlauer Berg,2022-11-14,43.5,0.0,0.0,1.0,0.0,2.0,-6.74,39.76,21/11/2022,#C3D5D - Prenzlauer Berg - 2022-11-14
