Location,OrderID,OrderUUID,OrderDate,RatingType,RatingScore,PrimaryKey
Prenzlauer Berg,#9CCD6,3e4f4942-cd24-5d7a-ae88-3d0623a5f22d,2023-03-31,Consumer To Merchant,3,#9CCD6 - Prenzlauer Berg - 2023-03-31
Mitte,#5CDD7,f4a4d760-8d15-5fd2-9b0a-d38c4092cffe,2023-03-31,Consumer To Merchant,5,#5CDD7 - Mitte - 2023-03-31
Prenzlauer Berg,#EC001,352150a8-ab6c-5103-a656-ca1b8c8a97dc,2023-03-30,Consumer To Merchant,5,#EC001 - Prenzlauer Berg - 2023-03-30
Mitte,#D5859,cab8908d-7306-5fa1-9449-5b96c055b57d,2023-03-27,Consumer To Merchant,5,#D5859 - Mitte - 2023-03-27
Prenzlauer Berg,#B83E3,0767fa5a-1bc9-529e-9d71-94e7771b3d13,2023-03-29,Consumer To Merchant,5,#B83E3 - Prenzlauer Berg - 2023-03-29
Friedrichshain,#65FA3,a4a12065-0ff8-5b90-9777-9f439b1555b1,2023-03-26,Consumer To Merchant,3,#65FA3 - Friedrichshain - 2023-03-26
Friedrichshain,#4E4D8,a829c4f7-8ff4-570d-bf29-970639ba2356,2023-03-30,Consumer To Merchant,5,#4E4D8 - Friedrichshain - 2023-03-30
Bergmannkiez,#92CDC,afb67140-5dd6-545d-bf09-847886ea65f3,2023-03-30,Consumer To Merchant,4,#92CDC - Bergmannkiez - 2023-03-30
Charlottenburg,#1F09A,117fe6b8-e88b-5df4-ac90-af052eaf5036,2023-03-31,Consumer To Merchant,5,#1F09A - Charlottenburg - 2023-03-31
Prenzlauer Berg,#2B33B,ee08eb4c-c9c4-5996-9642-5855120b5040,2023-03-29,Consumer To Merchant,5,#2B33B - Prenzlauer Berg - 2023-03-29
Charlottenburg,#6F04C,1b34c426-bf00-51a4-ba1d-b16aa80ec170,2023-03-31,Consumer To Merchant,1,#6F04C - Charlottenburg - 2023-03-31
Friedrichshain,#D6269,e7e06bd1-f4c9-5672-8b22-39818e4605dd,2023-03-30,Consumer To Merchant,5,#D6269 - Friedrichshain - 2023-03-30
Charlottenburg,#B1B6C,b3d4cbb6-2a35-57a4-aa0a-0ce88e81cad6,2023-03-31,Consumer To Merchant,3,#B1B6C - Charlottenburg - 2023-03-31
Friedrichshain,#F0577,fad0d4c0-a0fb-5318-83a9-11a95766aad9,2023-03-27,Consumer To Merchant,5,#F0577 - Friedrichshain - 2023-03-27
Charlottenburg,#DA217,ce9de74c-663c-5bc1-ad53-7a811ddb6673,2023-03-20,Consumer To Merchant,4,#DA217 - Charlottenburg - 2023-03-20
Bergmannkiez,#9A24B,7ac92785-7e36-5a80-95c3-a0e1dcd40f6b,2023-03-25,Consumer To Merchant,5,#9A24B - Bergmannkiez - 2023-03-25
Friedrichshain,#1B0CF,3dc11360-7c29-59fe-a86c-d427ed73cc91,2023-03-24,Consumer To Merchant,5,#1B0CF - Friedrichshain - 2023-03-24
Prenzlauer Berg,#5B2DF,ad4999e4-572b-5cd4-a75f-ed75a5280fc2,2023-03-24,Consumer To Merchant,5,#5B2DF - Prenzlauer Berg - 2023-03-24
Bergmannkiez,#DA52A,eb8a2e7b-1216-5cde-b3ec-24ca238c2d57,2023-03-25,Consumer To Merchant,5,#DA52A - Bergmannkiez - 2023-03-25
Prenzlauer Berg,#2239B,473006cb-8a20-5388-8a5e-dd07e1bf348f,2023-03-20,Consumer To Merchant,5,#2239B - Prenzlauer Berg - 2023-03-20
Prenzlauer Berg,#18727,141f25c7-e7b2-5bdf-bf9f-7b3f24e2205c,2023-03-30,Consumer To Merchant,5,#18727 - Prenzlauer Berg - 2023-03-30
Kreuzberg,#26430,81bfce09-6789-562b-955c-42531df5d48c,2023-03-27,Consumer To Merchant,5,#26430 - Kreuzberg - 2023-03-27
Bergmannkiez,#828A7,f5d8c298-fe03-5c9b-b949-73e791281859,2023-03-28,Consumer To Merchant,5,#828A7 - Bergmannkiez - 2023-03-28
