PrimaryKey,Location,OrderID,OrderDate,OrderTime,Channel,OrderStatus,DeliveryType,GrossAOV,OrderDuration,RatingScore
#945 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#945,2023-02-01,11:13:00,Wolt,Delivered,Delivery,11.8,,3.0
#788 - Mitte - 2023-02-01,Mitte,#788,2023-02-01,11:25:00,Wolt,Delivered,Delivery,12.3,,
#137 - Friedrichshain - 2023-02-01,Friedrichshain,#137,2023-02-01,11:44:00,Wolt,Delivered,Delivery,28.2,,
#138 - Friedrichshain - 2023-02-01,Friedrichshain,#138,2023-02-01,12:07:00,Wolt,Delivered,Delivery,22.7,,
#946 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#946,2023-02-01,12:15:00,Wolt,Delivered,Delivery,10.9,,
#789 - Mitte - 2023-02-01,Mitte,#789,2023-02-01,12:25:00,Wolt,Delivered,Delivery,15.2,,
#947 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#947,2023-02-01,12:33:00,Wolt,Delivered,Delivery,19.7,,
#139 - Friedrichshain - 2023-02-01,Friedrichshain,#139,2023-02-01,12:40:00,Wolt,Delivered,Delivery,15.3,,
#948 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#948,2023-02-01,13:23:00,Wolt,Delivered,Delivery,11.4,,
#790 - Mitte - 2023-02-01,Mitte,#790,2023-02-01,13:52:00,Wolt,Delivered,Delivery,27.2,,
#949 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#949,2023-02-01,13:54:00,Wolt,Delivered,Delivery,15.6,,3.0
#791 - Mitte - 2023-02-01,Mitte,#791,2023-02-01,14:28:00,Wolt,Delivered,Delivery,14.9,,
#140 - Friedrichshain - 2023-02-01,Friedrichshain,#140,2023-02-01,14:30:00,Wolt,Delivered,Delivery,13.3,,
#950 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#950,2023-02-01,14:46:00,Wolt,Delivered,Delivery,15.8,,
#141 - Friedrichshain - 2023-02-01,Friedrichshain,#141,2023-02-01,15:04:00,Wolt,Delivered,Delivery,18.2,,
#792 - Mitte - 2023-02-01,Mitte,#792,2023-02-01,16:16:00,Wolt,Delivered,Delivery,20.2,,2.0
#142 - Friedrichshain - 2023-02-01,Friedrichshain,#142,2023-02-01,16:54:00,Wolt,Delivered,Delivery,19.7,,5.0
#951 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#951,2023-02-01,17:22:00,Wolt,Delivered,Delivery,15.4,,
#143 - Friedrichshain - 2023-02-01,Friedrichshain,#143,2023-02-01,17:23:00,Wolt,Delivered,Delivery,14.4,,
